year,month,date,indicator
1889,1,Jan 1889,100.3302296
1889,2,Feb 1889,99.67178068
1889,3,Mar 1889,99.6790887
1889,4,Apr 1889,99.87879759
1889,5,May 1889,99.38280788
1889,6,Jun 1889,99.16465246
1889,7,Jul 1889,99.0115878
1889,8,Aug 1889,99.29818414
1889,9,Sep 1889,99.19363523
1889,10,Oct 1889,99.92354708
1889,11,Nov 1889,99.4711544
1889,12,Dec 1889,99.80993671
1890,1,Jan 1890,99.81665148
1890,2,Feb 1890,99.67392979
1890,3,Mar 1890,99.77874177
1890,4,Apr 1890,99.57327331
1890,5,May 1890,99.47797138
1890,6,Jun 1890,99.05678676
1890,7,Jul 1890,99.9655511
1890,8,Aug 1890,99.37417377
1890,9,Sep 1890,99.60432517
1890,10,Oct 1890,99.76854297
1890,11,Nov 1890,99.75137527
1890,12,Dec 1890,100.1604365
1891,1,Jan 1891,99.36052819
1891,2,Feb 1891,99.55476824
1891,3,Mar 1891,99.37301158
1891,4,Apr 1891,99.63467784
1891,5,May 1891,99.05236779
1891,6,Jun 1891,98.92586384
1891,7,Jul 1891,99.62332578
1891,8,Aug 1891,98.65250779
1891,9,Sep 1891,99.02093994
1891,10,Oct 1891,99.15891668
1891,11,Nov 1891,99.4527662
1891,12,Dec 1891,99.77589184
1892,1,Jan 1892,99.62439126
1892,2,Feb 1892,99.45393943
1892,3,Mar 1892,99.5059262
1892,4,Apr 1892,98.85227955
1892,5,May 1892,99.40228619
1892,6,Jun 1892,99.30600378
1892,7,Jul 1892,98.97904614
1892,8,Aug 1892,98.89957189
1892,9,Sep 1892,99.14241471
1892,10,Oct 1892,99.47034125
1892,11,Nov 1892,99.00237237
1892,12,Dec 1892,99.26099492
1893,1,Jan 1893,99.07797935
1893,2,Feb 1893,99.32360647
1893,3,Mar 1893,99.84432692
1893,4,Apr 1893,98.67200412
1893,5,May 1893,98.83819176
1893,6,Jun 1893,98.99411281
1893,7,Jul 1893,99.22649356
1893,8,Aug 1893,99.60388198
1893,9,Sep 1893,99.06663364
1893,10,Oct 1893,99.43314257
1893,11,Nov 1893,99.81287956
1893,12,Dec 1893,99.3914167
1894,1,Jan 1894,100.2632963
1894,2,Feb 1894,99.71196637
1894,3,Mar 1894,98.96699492
1894,4,Apr 1894,99.04218122
1894,5,May 1894,98.81906507
1894,6,Jun 1894,99.32712657
1894,7,Jul 1894,98.98289507
1894,8,Aug 1894,99.28441966
1894,9,Sep 1894,99.04019538
1894,10,Oct 1894,98.98844839
1894,11,Nov 1894,99.24368604
1894,12,Dec 1894,98.85460012
1895,1,Jan 1895,99.17584764
1895,2,Feb 1895,99.20368895
1895,3,Mar 1895,98.50670347
1895,4,Apr 1895,98.91187766
1895,5,May 1895,98.85214225
1895,6,Jun 1895,99.13940324
1895,7,Jul 1895,98.50145795
1895,8,Aug 1895,98.41991702
1895,9,Sep 1895,98.84287549
1895,10,Oct 1895,98.61439038
1895,11,Nov 1895,98.51991208
1895,12,Dec 1895,98.93231597
1896,1,Jan 1896,98.76422532
1896,2,Feb 1896,98.2485834
1896,3,Mar 1896,99.02458922
1896,4,Apr 1896,98.14103161
1896,5,May 1896,98.52569658
1896,6,Jun 1896,98.52426956
1896,7,Jul 1896,98.54292485
1896,8,Aug 1896,98.56479747
1896,9,Sep 1896,98.54355682
1896,10,Oct 1896,98.57961051
1896,11,Nov 1896,98.94092843
1896,12,Dec 1896,98.48410458
